"주문일","SKU코드","SKU명","판매량(Unit)"
"2025-03-27","A01000016","마른파이브 배 편한 넉넉스타킹 20D 유발 스킨 M-L",3
"2025-03-27","A01000017","마른파이브 배 편한 넉넉스타킹 20D 무발 스킨 M-L",1
"2025-03-27","A01000018","마른파이브 배 편한 넉넉스타킹 20D 유발 스킨 XL",8
"2025-03-27","A01000019","마른파이브 배 편한 봄가을 넉넉스타킹 70D 블랙 M-L",2
"2025-03-27","A01000021","마른파이브 배 편한 겨울 넉넉스타킹 150D 블랙 M-L",1
"2025-03-27","A01000023","마른파이브 겨울 팬티스타킹 레깅스 기모온깅스",1
"2025-03-27","A01000025","마른파이브 심리스 오가닉 쉬어브라 2.0 스킨 M",1
"2025-03-27","A01000026","마른파이브 심리스 오가닉 쉬어브라 2.0 스킨 L",1
"2025-03-27","A01000027","마른파이브 노라인 심리스 쉬어팬티 베이직 2입 세트 M(90-95)",5
"2025-03-27","A01000028","마른파이브 노라인 심리스 쉬어팬티 베이직 2입 세트 L(95-100)",8
"2025-03-27","A01000029","마른파이브 쉬어 모달 여성 트렁크 팬티 블랙 XL(77-88)",6
"2025-03-27","A01000030","마른파이브 쉬어 모달 여성 트렁크 팬티 블랙 L(55-66)",2
"2025-03-27","A01000031","마른파이브 쉬어 모달 여성 트렁크 팬티 핑크솔트 L(55-66)",1
"2025-03-27","A01000032","마른파이브 쉬어 모달 여성 트렁크 팬티 버터레몬 L(55-66)",1
"2025-03-27","A01000035","마른파이브 브라 쉬는 날 프리플 니플 패치 - 노글루 타입 8cm(FREE)",1
"2025-03-27","A01000037","마른파이브 두프리 실리콘 누드브라 - 슬림 스킨CD",3
"2025-03-27","A01000038","마른파이브 두프리 실리콘 누드브라 - 3CM 볼륨업 스킨 A컵",1
"2025-03-27","A01000040","마른파이브 노와이어 모달 스포츠 브라탑 스킨 M",2
"2025-03-27","A01000041","마른파이브 노와이어 모달 스포츠 브라탑 스킨 L",1
"2025-03-27","A01000042","마른파이브 노와이어 모달 스포츠 브라탑 블랙 M",2
"2025-03-27","A01000044","마른파이브 에어그램 노와이어 브라 스킨 80AB",1
"2025-03-27","A01000046","마른파이브 에어그램 노와이어 브라 블랙 80AB",2
"2025-03-27","A01000047","마른파이브 에어그램 노와이어 브라 블랙 75AB",2
"2025-03-27","A01000054","마른파이브 심리스 노라인 티팬티 블랙 M (4세트)",1
"2025-03-27","A01000055","마른파이브 심리스 노라인 팬티 스킨 L(95-100) (3세트)",1
"2025-03-27","A01000061","마른파이브 하이웨스트 샘방지 위생팬티 그레이 L(90-95)",7
"2025-03-27","A01000062","마른파이브 하이웨스트 샘방지 위생팬티 그레이 XL(95-100)",7
"2025-03-27","A01000063","마른파이브 원핏 남자 드로즈 팬티 그레이 FREE(95-110)",5
"2025-03-27","A01000064","마른파이브 원핏 남자 드로즈 팬티 블랙 FREE(95-110)",20
"2025-03-27","A01000067","날마다 페이크삭스 국산 덧신 양말 화이트 M(240~270) (10켤레)",3
"2025-03-27","A01000068","날마다 페이크삭스 국산 덧신 양말 블랙 M(240~270) (10켤레)",1
"2025-03-27","A01000069","날마다 삭스 국산 코튼 발목양말 화이트 FREE(230~270) (10켤레)",5
"2025-03-27","A01000070","날마다 삭스 국산 코튼 발목양말 블랙 FREE(230~270) (10켤레)",8
"2025-03-27","A01000078","BYC 보디드라이 클래식 여성 케미솔_라이트스킨_95호",1
"2025-03-27","A01000080","BYC 보디드라이 클래식 3부 하의 속바지_블랙_95호",1
"2025-03-27","A01000087","리무브 스킨브라 브라이트 8cm",1
"2025-03-27","A01000088","리무브 스킨브라 뉴트럴 10cm",1
"2025-03-27","A01000094","마른파이브 캡내장 브리즈 모달 크롭 끈나시 브라탑_아이보리_FREE",3
"2025-03-27","A01000095","마른파이브 캡내장 브리즈 모달 크롭 끈나시 브라탑_아이보리_XL",4
"2025-03-27","A01000096","마른파이브 캡내장 브리즈 모달 크롭 끈나시 브라탑_블랙_FREE",5
"2025-03-27","A01000097","마른파이브 캡내장 브리즈 모달 크롭 끈나시 브라탑_블랙_XL",2
"2025-03-27","A01000100","마른파이브 히트터치 발열내의 내복세트 여성 블랙 XL",2
"2025-03-27","A01000101","마른파이브 히트터치 발열내의 내복세트 여성 스킨 FREE",1
"2025-03-27","A04000054","메리삭스 골지 베스트 페이크삭스, 여성 혼합 4족,화이트/크림화이트/오트밀/블랙",2
"2025-03-27","A04000056","메리삭스 골지 베스트 페이크삭스, 여성 크림화이트 4족",1
"2025-03-27","A04000057","메리삭스 골지 베스트 페이크삭스, 남성 그레이 4족",3
"2025-03-27","A04000064","에이브랜드 사계절 엣센셜 순면 끈나시 1매, XL 살구",1
"2025-03-27","A04000069","메리삭스 양말 3족 기프트 세트_베이직수트 맨삭스_남성",4
"2025-03-27","A12000002","에너자이저 맥스 건전지 AAA 16입",6
"2025-03-27","A12000003","에너자이저 맥스 건전지 AA 16입",6
"2025-03-27","A12000004","에너자이저 알카라인 맥스 C 건전지 4입",1
"2025-03-27","A12000005","에너자이저 알카라인 맥스 D 건전지 4입",1
"2025-03-27","A12000012","리큅 에어쿨 무선 탁상용 선풍기 LDF-4000",1
"2025-03-27","A12000017","유닉스 테이크아웃2 플랫 미니 고데기 UCI-A2502NA",1
"2025-03-27","A12000031","크리넥스 KFAD 라이트핏 슬림쿨Mask 대 10P",12
"2025-03-27","A12000032","크리넥스 KFAD 라이트핏 슬림쿨Mask 특대 10P",4
"2025-03-27","A12000034","샌디스크 Cruzer Blade Z50 32G",7
"2025-03-27","A12000035","샌디스크 울트라 플레어 USB 3.0 플래시 드라이브 CZ73 32G",9
"2025-03-27","A12000054","인스탁스 미니 11 PKG 화이트 (미니11 + 필름 20매 + 키트4종)",2
"2025-03-27","A12000063","닌텐도 스위치 본체 (OLED모델) 화이트",1
"2025-03-27","A12000076","페이스팩토리 아쿠아필링기 갈바닉 마사지기",1
"2025-03-27","A12000096","아이리버 실속형 충전식 전기 모기채 IMK-1200W",1
"2025-03-27","A12000145","유닉스 헤어 고데기 UCI-A2941 세라믹코팅",1
"2025-03-27","A12000155","보아르 이지포트M1 휴대용 접이식 전기포트",1
"2025-03-27","A12000166","알로코리아 도킹형 미니 보조배터리 아이폰 8핀",1
"2025-03-27","A12000189","오아 스마트 체지방 체중계(디지털 LED)",4
"2025-03-27","A12000198","오아 스퀘어 미니 발난로-화이트(풋 터치/듀얼램프)",1
"2025-03-27","A12000219","닌텐도 스위치 Lite 모여봐요 여울 알로하 세트",1
"2025-03-27","A12000225","로지텍 무선마우스 LIFT 그래파이트",1
"2025-03-27","A12000247","PANTONE 5000mAh 미니보조배터리 8PIN 퍼플",6
"2025-03-27","A12000248","PANTONE 5000mAh 미니보조배터리 C타입 퍼플",1
"2025-03-27","A12000253","PANTONE 3in1케이블 1.5M 네이비",8
"2025-03-27","A12000259","PANTONE 유선이어폰(TYPE-C) 그레이",6
"2025-03-27","A12000260","PANTONE 무소음 무선마우스 라벤더",11
"2025-03-27","A12000262","화이트플래닛 4in1 USB 3.0 TYPE-C 허브",1
"2025-03-27","A12000263","알로코리아 듀얼+C타입 고속충전 PD 보조배터리 10000mAh",1
"2025-03-27","A12000264","알로코리아 25W C타입 초고속 충전기",39
"2025-03-27","A12000265","오아 홈텍트 가정용 와이파이 스마트 홈캠(400만 화소)",1
"2025-03-27","A12000268","알로코리아 휴대용 미니 선풍기 듀얼팬 F2 민트그린 (C타입)",1
"2025-03-27","A13000001","LG유플러스 모두의 유심 원칩",23
"2025-03-27","A13000002","깨끗한나라 덴탈형비말차단마스크(KF-AD) 50개입",18
"2025-03-27","A17000068","3M 빨아쓰는 다용도 행주 10개입",9
"2025-03-27","A17000080","브레프 파워액티브 레몬",9
"2025-03-27","A17000084","생활공작소 고무장갑 M 베이지",2
"2025-03-27","A17000087","생활공작소 곰팡이 제거제 300ml",3
"2025-03-27","A17000089","생활공작소 세탁조크리너 450g",18
"2025-03-27","A17000091","생활공작소 일회용수세미 60매 그레이",17
"2025-03-27","A17000094","송월 호텔용 수건 150g 진갈색",21
"2025-03-27","A17000095","송월 호텔용 수건 150g 흰색",12
"2025-03-27","A17000102","유한락스 레귤러 500ml",18
"2025-03-27","A17000103","유한락스 펑크린 1L",146
"2025-03-27","A17000108","크린랲 나무젓가락 30개입",109
"2025-03-27","A17000110","크린랲 위생 수저 10개입",216
"2025-03-27","A17000116","크린랲 크린장갑 50매",93
"2025-03-27","A17000125","홈스타 락스와세제 후로랄파인 750ml",18
"2025-03-27","A17000127","홈스타 변기세정제 4p",36
"2025-03-27","A17000128","홈스타 세탁조 버블워시(100g×2포)",29
"2025-03-27","A17000140","간편한 은박냄비 5입(직화용)",19
"2025-03-27","A17000237","디어커스 그레이 원데이 수세미 60매",5
"2025-03-27","A17000248","제니퍼룸 워킷블렌더 화이트 JR-HB0500",3
"2025-03-27","A17000249","제니퍼룸 2구 토스터 JR-T900WH",2
"2025-03-27","A17000254","글래드 프레스앤씰 매직랩 일반형 30cm×21.6m",28
"2025-03-27","A17000255","글래드 프리미엄 지퍼백 냉장 중형 25매",6
"2025-03-27","A17000267","네오플램 피카 인덕션 IH 냄비 편수 18cm",4
"2025-03-27","A17000268","네오플램 피카 인덕션 IH 냄비 양수 22cm",2
"2025-03-27","A17000270","네오플램 피카 인덕션 IH 프라이팬 24cm",3
"2025-03-27","A17000271","네오플램 피카 인덕션 IH 프라이팬 28cm",1
"2025-03-27","A17000275","마리슈타이거 4 in 1 멀티 칼갈이",1
"2025-03-27","A17000277","휴바트 2in1 듀얼 그레이터",1
"2025-03-27","A17000278","마리슈타이거 아이스볼 메이커 2P 세트",1
"2025-03-27","A17000280","이지앤프리 원형 아이스볼 6구",2
"2025-03-27","A17000286","슈가랩 프리미엄 에코백(대) 100매",2
"2025-03-27","A17000289","슈가랩 에코 지퍼백(대) 20매",13
"2025-03-27","A17000290","슈가랩 에코 위생장갑 100매",19
"2025-03-27","A17000291","슈가랩 어린이용 위생장갑 30매",2
"2025-03-27","A17000292","슈가랩 친환경 생분해 빨대(대) 50개입",2
"2025-03-27","A17000293","슈가랩 친환경 생분해 빨대(중) 50개입",6
"2025-03-27","A17000300","카모메키친 수저세트 크림옐로우",16
"2025-03-27","A17000301","카모메키친 수저세트 그레이",4
"2025-03-27","A17000309","카모메키친 이리스 이중유리컵 컬러머그잔 옐로우",2
"2025-03-27","A17000312","카모메키친 단정머그 모던 브라운",3
"2025-03-27","A17000316","드레텍 타이머 화이트 T-542",1
"2025-03-27","A17000317","드레텍 쿠킹온도계 아이보리 O-274IV",2
"2025-03-27","A17000321","드레텍 전자 저울 아이보리 KS-171IV",4
"2025-03-27","A17000333","쓰임 마호가니 베이직 손잡이 원목도마",1
"2025-03-27","A17000337","쓰임 스마일 와글와글 맥주컵 6P",2
"2025-03-27","A17000338","마리슈타이거 스테인레스 도마 그레이",1
"2025-03-27","A17000340","홈에디션명진 베이비핑크 고무장갑(대)",29
"2025-03-27","A17000341","홈에디션명진 베이비핑크 고무장갑(중)",81
"2025-03-27","A17000342","니코트 우드 어른 수저세트",9
"2025-03-27","A17000345","니코트 우드 뒤집개 L",1
"2025-03-27","A17000348","니코트 우드 튀김 젓가락",3
"2025-03-27","A17000350","니코트 우드 버터나이프",1
"2025-03-27","A17000354","옥소 굿그립 프렙 채칼 필러",6
"2025-03-27","A17000358","옥소 굿그립 28cm 거품기",1
"2025-03-27","A17000359","옥소 굿그립 계량컵 250mL",2
"2025-03-27","A17000360","옥소 굿그립 핸드 만돌린 슬라이서",1
"2025-03-27","A17000370","락앤락 슈트IH 멀티팬 22cm",1
"2025-03-27","A17000381","락앤락 곡선 주방가위",9
"2025-03-27","A17000382","락앤락 절삭 주방가위 (양손용)",14
"2025-03-27","A17000387","생활공작소 고무장갑 일반형 M 파스텔블루",9
"2025-03-27","A17000388","생활공작소 고무장갑 일반형 L 파스텔블루",10
"2025-03-27","A17000389","쓰임 라피네 파스타볼",8
"2025-03-27","A17000392","쓰임 마일드 매트 계란찜기 크림",2
"2025-03-27","A17000395","니코트 우드 요거트 볼+스푼세트(사각)",5
"2025-03-27","A17000397","니코트 우드 비빔기 샐러드볼 L",1
"2025-03-27","A17000402","쓰임 바이즈 면기 (중) 2개입 크림",5
"2025-03-27","A17000404","락앤락 HANDY손잡이가 편한 IH 웍 28cm",2
"2025-03-27","A17000407","락앤락 HANDY손잡이가 편한 IH 웍 24cm",3
"2025-03-27","A17000409","락앤락 HANDY손잡이가 편한 IH프라이팬 24cm",3
"2025-03-27","A17000428","락앤락 스텐믹싱볼",3
"2025-03-27","A17000431","빈토리오 스템리스 와인잔 2개입 세트",1
"2025-03-27","A17000432","락앤락 스텐사각타공채반",1
"2025-03-27","A17000456","크린랲 고무장갑 니트릴 소(100입)",5
"2025-03-27","A17000457","크린랲 고무장갑 니트릴 중(100입)",8
"2025-03-27","A17000458","크린랲 고무장갑 니트릴 중(블랙)(100입)",2
"2025-03-27","A17000459","쓰임 포레스트 실리콘 테이블매트 포그그린",3
"2025-03-27","A17000469","모던하우스 데일리브런치 멜라민 피크닉접시 4p세트",1
"2025-03-27","A17000470","락앤락 데일리코튼 도시락 2단",2
"2025-03-27","A17000471","락앤락 데일리코튼 도시락 3단",1
"2025-03-27","A17000472","프로쉬 그린레몬 식기세척기세제 30개 540g",4
"2025-03-27","A17000478","모던하우스 레인포레스트 프라이팬 28cm",2
"2025-03-27","A17000480","모던하우스 WOW 개인접시 6P세트",1
"2025-03-27","A17000481","모던하우스 ON깔끔 건조 걸이형 도마세트(도마3+거치대1)",4
"2025-03-27","A17000491","모던하우스 어썸데이 데이지 캔버스 보온보냉가방S 24×14×24",1
"2025-03-27","A17000492","모던하우스 핸들 심플양념병 4P세트 500ml(스티커포함)",5
"2025-03-27","A17000494","모던하우스 리틀버디 실리콘 냄비받침 베어",1
"2025-03-27","A17000496","프로쉬 알로에 주방세제 500ml",3
"2025-03-27","A17000497","데일리라이크 강화 유리컵 (마이버디)",1
"2025-03-27","A17000499","모던하우스 뉴세이프락 실속 밀폐용기 5P세트",2
"2025-03-27","A17000502","글래드 매직랩 미니 (20cm×40m)",13
"2025-03-27","A17000504","글래드 늘어나는 매직백 냉장 중형 20매",1
"2025-03-27","A17000505","글래드 늘어나는 매직백 냉장 대형 15매",1
"2025-03-27","A17000506","글래드 늘어나는 매직백 냉동 중형 15매",1
"2025-03-27","A17000509","락앤락 비스프리 모듈러 플러스-260ml",2
"2025-03-27","A17000510","락앤락 비스프리 모듈러 플러스-450ml",2
"2025-03-27","A17000512","락앤락 비스프리 모듈러 플러스-1.5L",1
"2025-03-27","A17000522","모던하우스 슈가쿡 세라믹코팅 편수 냄비 3종 세트 14/16/ 20cm (인덕션겸용)",1
"2025-03-27","A17000542","락앤락 메트로 밀폐 머그 텀블러 475ml 그린",2
"2025-03-27","A17000547","카모메키친 블랙 다용도 고무장갑 L",1
"2025-03-27","A17000549","카모메키친 커트러리 3P 세트 인디핑크",1
"2025-03-27","A17000552","카모메키친 퓨어 공기 대접_대접",3
"2025-03-27","A17000553","카모메키친 퓨어 플레이트 M",1
"2025-03-27","A17000555","이지앤프리 블랙락 에디션 밀폐용기 480ml 4p",8
"2025-03-27","A17000556","이지앤프리 블랙락 에디션 밀폐용기 915ml 4p",6
"2025-03-27","A17000557","이지앤프리 블랙락 원핸들 밀폐용기 4호 1.4L 4p",2
"2025-03-27","A17000559","이지앤프리 이지킵 프리즈팩 냉동실정리용기 1900ml 3p 올리브",2
"2025-03-27","A17000560","이지앤프리 이지킵 프리즈팩 냉동실정리용기 1000ml 4p 올리브",2
"2025-03-27","A17000561","이지앤프리 클린킵 잡곡통 냉장고정리용기 1200ml 4p",3
"2025-03-27","A17000563","락앤락 메트로 머그 600ML 아이보리",1
