"date_cd","week_cd","month_cd","weekstart_dt","weekend_dt","monthstart_dt","monthend_dt","year_nm","month_nm","day_nm","week_nm","holiday_yn","holiday_desc","use_yn","std_dt","end_dt","update_dt","weekend_yn","public_holiday_yn","national_day_yn","twentyfourdiv_day_yn","sundry_day_yn","anniversary_day_yn","public_holiday_desc","national_day_desc","twentyfourdiv_day_desc","sundry_day_desc","anniversary_day_desc","days_desc"
"2024-01-01","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","1일","월","Y","1월1일","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","Y","Y","N","N","N","1월1일","1월1일","","","","1월1일"
"2024-01-02","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","2일","화","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-03","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","3일","수","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-04","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","4일","목","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-05","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","5일","금","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-06","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","6일","토","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","Y","N","N","","","소한","","","소한"
"2024-01-07","2024-01-01~2024-01-07","2024-01","2024-01-01","2024-01-07","2024-01-01","2024-01-31","2024년","1월","7일","일","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","N","N","N","","","","","",""
"2024-01-08","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","8일","월","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-09","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","9일","화","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-10","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","10일","수","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-11","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","11일","목","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-12","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","12일","금","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-13","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","13일","토","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","N","N","N","","","","","",""
"2024-01-14","2024-01-08~2024-01-14","2024-01","2024-01-08","2024-01-14","2024-01-01","2024-01-31","2024년","1월","14일","일","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","N","N","N","","","","","",""
"2024-01-15","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","15일","월","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-16","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","16일","화","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-17","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","17일","수","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-18","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","18일","목","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-19","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","19일","금","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-20","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","20일","토","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","Y","N","N","","","대한","","","대한"
"2024-01-21","2024-01-15~2024-01-21","2024-01","2024-01-15","2024-01-21","2024-01-01","2024-01-31","2024년","1월","21일","일","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","N","N","N","","","","","",""
"2024-01-22","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","22일","월","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-23","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","23일","화","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-24","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","24일","수","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-25","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","25일","목","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-26","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","26일","금","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-27","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","27일","토","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","N","N","N","","","","","",""
"2024-01-28","2024-01-22~2024-01-28","2024-01","2024-01-22","2024-01-28","2024-01-01","2024-01-31","2024년","1월","28일","일","Y","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","Y","N","N","N","N","N","","","","","",""
"2024-01-29","2024-01-29~2024-02-04","2024-01","2024-01-29","2024-02-04","2024-01-01","2024-01-31","2024년","1월","29일","월","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-30","2024-01-29~2024-02-04","2024-01","2024-01-29","2024-02-04","2024-01-01","2024-01-31","2024년","1월","30일","화","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-01-31","2024-01-29~2024-02-04","2024-01","2024-01-29","2024-02-04","2024-01-01","2024-01-31","2024년","1월","31일","수","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
"2024-02-01","2024-01-29~2024-02-04","2024-02","2024-01-29","2024-02-04","2024-02-01","2024-02-29","2024년","2월","1일","목","N","","Y","2025-04-27","9999-12-31","2025-04-27 22:00:25.000000000","N","N","N","N","N","N","","","","","",""
