"date","center_name","주문(취소제외)"
"2025-05-01","강남논현점",10776
"2025-05-01","강남압구정점",5382
"2025-05-01","강남양재점",11066
"2025-05-01","강동천호점",12037
"2025-05-01","강북미아점",11606
"2025-05-01","강서가양점",11746
"2025-05-01","강서화곡점",17180
"2025-05-01","고양점",5280
"2025-05-01","관악신림점",16228
"2025-05-01","광진자양점",12820
"2025-05-01","구로신도림점",9089
"2025-05-01","구리점",7780
"2025-05-01","군포점",5326
"2025-05-01","금천독산점",10488
"2025-05-01","김포점",7805
"2025-05-01","김해점",4292
"2025-05-01","노원중계점",9841
"2025-05-01","대구달서점",8764
"2025-05-01","대구북구점",4130
"2025-05-01","대구수성점",6514
"2025-05-01","대구중구점",6077
"2025-05-01","대전서구점",11944
"2025-05-01","대전유성점",5383
"2025-05-01","대전중구점",9556
"2025-05-01","도봉쌍문점",13567
"2025-05-01","동대문제기점",13483
"2025-05-01","동작상도점",8608
"2025-05-01","동탄점",9442
"2025-05-01","마포상암점",8307
"2025-05-01","부산남구점",5770
"2025-05-01","부산동래점",6921
"2025-05-01","부산사하점",5230
"2025-05-01","부산진구점",9197
"2025-05-01","부산해운대점",4043
"2025-05-01","부천점",14833
"2025-05-01","분당점",12068
"2025-05-01","서대문신촌점",19184
"2025-05-01","서초교대점",6985
"2025-05-01","서초내방점",9113
"2025-05-01","서초반포점",5811
"2025-05-01","성남점",12142
"2025-05-01","성동옥수점",8409
"2025-05-01","송파문정점",8080
"2025-05-01","송파신천점",5520
"2025-05-01","송파잠실점",8709
"2025-05-01","수원광교점",7227
"2025-05-01","수원권선점",6796
"2025-05-01","수원인계점",12908
"2025-05-01","시흥점",8074
"2025-05-01","안산점",13771
"2025-05-01","안양점",10818
"2025-05-01","영등포신길점",12643
"2025-05-01","오산점",8239
"2025-05-01","용산한남점",8725
"2025-05-01","용인점",9181
"2025-05-01","울산남구점",6149
"2025-05-01","원주점",8568
"2025-05-01","은평점",11147
"2025-05-01","의정부점",10896
"2025-05-01","인천검단점",4495
"2025-05-01","인천남부점",14771
"2025-05-01","인천부평점",17680
"2025-05-01","인천연수점",9470
"2025-05-01","인천용현점",6886
"2025-05-01","인천청라점",9050
"2025-05-01","일산점",9770
"2025-05-01","전주점",5221
"2025-05-01","중구명동점",6081
"2025-05-01","중랑면목점",12059
"2025-05-01","창원점",4761
"2025-05-01","천안점",12918
"2025-05-01","청주상당점",7350
"2025-05-01","청주흥덕점",8202
"2025-05-01","춘천점",3846
"2025-05-01","파주점",7606
"2025-05-01","평택고덕점",4079
"2025-05-01","평택점",12830
"2025-05-01","하남점",8376
"2025-05-02","강남논현점",8319
"2025-05-02","강남압구정점",4091
"2025-05-02","강남양재점",7838
"2025-05-02","강동천호점",7480
"2025-05-02","강북미아점",8399
"2025-05-02","강서가양점",7850
"2025-05-02","강서화곡점",11718
"2025-05-02","고양점",2971
"2025-05-02","관악신림점",10247
"2025-05-02","광진자양점",8729
"2025-05-02","구로신도림점",5490
"2025-05-02","구리점",5525
"2025-05-02","군포점",3360
"2025-05-02","금천독산점",6939
"2025-05-02","김포점",5504
"2025-05-02","김해점",2876
"2025-05-02","노원중계점",7150
"2025-05-02","대구달서점",6598
"2025-05-02","대구북구점",3010
"2025-05-02","대구수성점",4522
"2025-05-02","대구중구점",4148
"2025-05-02","대전서구점",8462
"2025-05-02","대전유성점",4015
"2025-05-02","대전중구점",5812
"2025-05-02","도봉쌍문점",8534
"2025-05-02","동대문제기점",8887
"2025-05-02","동작상도점",5848
"2025-05-02","동탄점",7131
"2025-05-02","마포상암점",5393
"2025-05-02","부산남구점",4254
"2025-05-02","부산동래점",5861
"2025-05-02","부산사하점",3543
"2025-05-02","부산진구점",6742
"2025-05-02","부산해운대점",3544
"2025-05-02","부천점",10080
"2025-05-02","분당점",8166
"2025-05-02","서대문신촌점",14582
"2025-05-02","서초교대점",5493
"2025-05-02","서초내방점",5585
"2025-05-02","서초반포점",4604
"2025-05-02","성남점",8105
"2025-05-02","성동옥수점",6057
"2025-05-02","송파문정점",5036
"2025-05-02","송파신천점",3446
"2025-05-02","송파잠실점",5797
"2025-05-02","수원광교점",5604
"2025-05-02","수원권선점",3834
"2025-05-02","수원인계점",9922
"2025-05-02","시흥점",5173
"2025-05-02","안산점",10208
"2025-05-02","안양점",7060
"2025-05-02","영등포신길점",8039
"2025-05-02","오산점",5659
"2025-05-02","용산한남점",6400
"2025-05-02","용인점",6858
"2025-05-02","울산남구점",4715
"2025-05-02","원주점",5871
"2025-05-02","은평점",7138
"2025-05-02","의정부점",7437
"2025-05-02","인천검단점",2708
"2025-05-02","인천남부점",10218
"2025-05-02","인천부평점",12367
"2025-05-02","인천연수점",5951
"2025-05-02","인천용현점",4689
"2025-05-02","인천청라점",5368
"2025-05-02","일산점",6998
"2025-05-02","전주점",3701
"2025-05-02","중구명동점",4376
"2025-05-02","중랑면목점",7689
"2025-05-02","창원점",2893
"2025-05-02","천안점",9080
"2025-05-02","청주상당점",5069
"2025-05-02","청주흥덕점",5594
"2025-05-02","춘천점",3105
"2025-05-02","파주점",5608
"2025-05-02","평택고덕점",3194
"2025-05-02","평택점",8376
"2025-05-02","하남점",5155
"2025-05-03","강남논현점",9835
"2025-05-03","강남압구정점",4857
"2025-05-03","강남양재점",10316
"2025-05-03","강동천호점",10015
"2025-05-03","강북미아점",10704
"2025-05-03","강서가양점",10354
"2025-05-03","강서화곡점",15029
"2025-05-03","고양점",4496
"2025-05-03","관악신림점",13349
"2025-05-03","광진자양점",11189
"2025-05-03","구로신도림점",8005
"2025-05-03","구리점",7006
"2025-05-03","군포점",4841
"2025-05-03","금천독산점",9098
"2025-05-03","김포점",7248
"2025-05-03","김해점",3892
"2025-05-03","노원중계점",9138
"2025-05-03","대구달서점",8311
"2025-05-03","대구북구점",3953
"2025-05-03","대구수성점",6845
"2025-05-03","대구중구점",6072
"2025-05-03","대전서구점",9925
"2025-05-03","대전유성점",5078
"2025-05-03","대전중구점",8289
"2025-05-03","도봉쌍문점",11230
"2025-05-03","동대문제기점",11850
"2025-05-03","동작상도점",7204
"2025-05-03","동탄점",9491
"2025-05-03","마포상암점",7080
"2025-05-03","부산남구점",5312
"2025-05-03","부산동래점",6847
"2025-05-03","부산사하점",4359
"2025-05-03","부산진구점",8497
"2025-05-03","부산해운대점",4191
"2025-05-03","부천점",12365
"2025-05-03","분당점",11090
"2025-05-03","서대문신촌점",18186
"2025-05-03","서초교대점",5889
"2025-05-03","서초내방점",7908
"2025-05-03","서초반포점",5112
"2025-05-03","성남점",9679
"2025-05-03","성동옥수점",8465
"2025-05-03","송파문정점",6497
"2025-05-03","송파신천점",4450
"2025-05-03","송파잠실점",7501
"2025-05-03","수원광교점",6300
"2025-05-03","수원권선점",5682
"2025-05-03","수원인계점",11754
"2025-05-03","시흥점",6522
"2025-05-03","안산점",12309
"2025-05-03","안양점",8639
"2025-05-03","영등포신길점",10508
"2025-05-03","오산점",6905
"2025-05-03","용산한남점",8479
"2025-05-03","용인점",8452
"2025-05-03","울산남구점",5910
"2025-05-03","원주점",7723
"2025-05-03","은평점",9855
"2025-05-03","의정부점",8910
"2025-05-03","인천검단점",3839
"2025-05-03","인천남부점",12351
"2025-05-03","인천부평점",15031
"2025-05-03","인천연수점",8525
"2025-05-03","인천용현점",5566
"2025-05-03","인천청라점",7359
"2025-05-03","일산점",8655
"2025-05-03","전주점",4924
"2025-05-03","중구명동점",5834
"2025-05-03","중랑면목점",9401
"2025-05-03","창원점",3928
"2025-05-03","천안점",11708
"2025-05-03","청주상당점",6653
"2025-05-03","청주흥덕점",6789
"2025-05-03","춘천점",3252
"2025-05-03","파주점",6525
"2025-05-03","평택고덕점",3751
"2025-05-03","평택점",10844
"2025-05-03","하남점",7004
"2025-05-04","강남논현점",8495
"2025-05-04","강남압구정점",4837
"2025-05-04","강남양재점",8711
"2025-05-04","강동천호점",9864
"2025-05-04","강북미아점",10223
"2025-05-04","강서가양점",9777
"2025-05-04","강서화곡점",13834
"2025-05-04","고양점",4020
"2025-05-04","관악신림점",12222
"2025-05-04","광진자양점",10233
"2025-05-04","구로신도림점",7463
"2025-05-04","구리점",6075
"2025-05-04","군포점",4161
"2025-05-04","금천독산점",8922
"2025-05-04","김포점",5913
"2025-05-04","김해점",3001
"2025-05-04","노원중계점",7775
"2025-05-04","대구달서점",6933
"2025-05-04","대구북구점",3336
"2025-05-04","대구수성점",5735
"2025-05-04","대구중구점",4904
"2025-05-04","대전서구점",9597
"2025-05-04","대전유성점",3974
"2025-05-04","대전중구점",6697
"2025-05-04","도봉쌍문점",10765
"2025-05-04","동대문제기점",10892
"2025-05-04","동작상도점",6809
"2025-05-04","동탄점",8087
"2025-05-04","마포상암점",7119
"2025-05-04","부산남구점",4893
"2025-05-04","부산동래점",6140
"2025-05-04","부산사하점",4114
"2025-05-04","부산진구점",8010
"2025-05-04","부산해운대점",4140
"2025-05-04","부천점",11350
