"CENTER_NAME","실사명","SKU_CODE","구분","계획 UNIT","실사 UNIT"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000295","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000298","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000622","품질관리팀","3","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000928","품질관리팀","6","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000932","품질관리팀","6","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000934","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20000936","품질관리팀","3","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001007","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001208","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001313","품질관리팀","5","5"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001479","품질관리팀","3","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001571","품질관리팀","11","1"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001745","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001748","품질관리팀","6","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001783","품질관리팀","2","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001854","품질관리팀","3","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001855","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001984","품질관리팀","33","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20001987","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20002338","품질관리팀","73","36"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20002706","품질관리팀","17","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20002707","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20002914","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003118","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003120","품질관리팀","2","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003273","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003366","품질관리팀","40","9"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003711","품질관리팀","8","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003747","품질관리팀","13","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003895","품질관리팀","3","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003944","품질관리팀","20","7"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003952","품질관리팀","8","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20003959","품질관리팀","3","3"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20004101","품질관리팀","3","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20004109","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20004151","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20004261","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A20004269","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21001296","품질관리팀","11","11"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21001304","품질관리팀","9","9"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21001695","품질관리팀","24","24"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21001744","품질관리팀","27","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21001793","품질관리팀","6","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21001796","품질관리팀","8","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21002020","품질관리팀","11","11"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21002314","품질관리팀","28","12"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21002785","품질관리팀","7","6"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21002845","품질관리팀","10","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21003040","품질관리팀","10","10"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21003186","품질관리팀","5","5"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21003292","품질관리팀","12","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21003293","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21004642","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21004643","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005204","품질관리팀","6","6"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005207","품질관리팀","34","34"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005335","품질관리팀","14","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005420","품질관리팀","2","1"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005597","품질관리팀","20","20"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005600","품질관리팀","13","13"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005635","품질관리팀","4","2"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21005637","품질관리팀","17","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21006029","품질관리팀","1","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21006030","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21006555","품질관리팀","13","13"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21007708","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21007775","품질관리팀","5","5"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21007934","품질관리팀","12","12"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21007942","품질관리팀","4","4"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21008050","품질관리팀","19","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21009398","품질관리팀","10","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21009607","품질관리팀","6","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21009609","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21009610","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21010434","품질관리팀","11","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21010465","품질관리팀","12","8"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21010738","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21011027","품질관리팀","7","7"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21011032","품질관리팀","14","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21011394","품질관리팀","4","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012045","품질관리팀","81","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012046","품질관리팀","8","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012397","품질관리팀","14","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012447","품질관리팀","19","18"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012672","품질관리팀","16","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012883","품질관리팀","8","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21012917","품질관리팀","5","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21013138","품질관리팀","17","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21013139","품질관리팀","7","NULL"
"강남논현점","품질지킴이_품관실사_4주차(1)","A21013140","품질관리팀","7","NULL"
