"ORDER_DATE","CENTER_NAME","실사명","SKU_CODE","구분","계획 UNIT","실사 UNIT","confirmed","confirmed_date","inspected_total_quantity"
"2025-02-03","금천독산점","수량실사/1000","A20000128","수량","2","2","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20000173","보증","3","3","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000352","수량","1","1","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20000456","보증","3","3","0",null,null
"2025-02-03","금천독산점","수량실사/300","A20000592","수량","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000683","수량","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000686","수량","9","9","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000687","수량","2","2","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000691","수량","8","8","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000757","수량","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000759","수량","2","2","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000827","수량","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000853","수량","6","6","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000854","수량","4","4","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20000932","보증","2","2","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20000934","보증","1","1","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20000936","보증","2","2","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20000956","보증","3","3","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20000987","수량","2","2","0",null,null
"2025-02-03","금천독산점","수량실사/300","A20000993","수량","1","1","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001003","보증","1","1","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001096","보증","7","7","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001097","보증","6","6","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001100","수량","6","6","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001102","수량","3","3","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001143","보증","21","21","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001144","보증","8","8","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001174","보증","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001201","수량","4","4","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001203","수량","4","4","0",null,null
"2025-02-03","금천독산점","수량실사/300","A20001207","수량","1","1","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001208","보증","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001246","수량","2","2","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001254","수량","11","11","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001307","보증","1","1","0",null,null
"2025-02-03","금천독산점","보증기간 30일 실사 SKU(200)","A20001308","보증","4","4","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001376","수량","1","1","0",null,null
"2025-02-03","금천독산점","수량실사/1000","A20001449","수량","4","4","0",null,null
