"일자","시간대","PPC명","hash","피킹건수","패킹건수","피킹SKU수","패킹SKU수","피패킹MH","피킹대기MH","피킹MH","패킹MH","피킹대기생산성","피킹생산성","패킹생산성","피패킹생산성"
"2025-04-19","00","강서가양점","4xip1RMz",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","00","강서가양점","8X1cJNEE",null,null,null,null,"0.018333","0.015000","0.000000","0.003333",null,null,null,null
"2025-04-19","00","강서가양점","93DXE21g",0,1,11,13,"0.073333","0.008333","0.025000","0.040000",null,null,"25.000000",null
"2025-04-19","00","강서가양점","YqrlcKDQ",7,7,48,47,"0.371667","0.103333","0.163333","0.105000","67.742154","42.857230","66.666667","18.834165"
"2025-04-19","00","강서가양점","fbGeiRWl",1,1,4,4,"0.091667","0.041667","0.025000","0.025000","23.999808","40.000000","40.000000","10.909051"
"2025-04-19","00","강서가양점","fbnXfIYp",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","00","부천점","51wkWFMs",4,4,18,16,"0.216667","0.083333","0.088333","0.045000","48.000192","45.283190","88.888889","18.461766"
"2025-04-19","00","부천점","53WqSC3B",4,4,24,24,"0.308333","0.073333","0.135000","0.100000","54.545702","29.629630","40.000000","12.973029"
"2025-04-19","00","부천점","BHoqohab",4,4,21,19,"0.263333","0.105000","0.105000","0.053333","38.095238","38.095238","75.000469","15.189950"
"2025-04-19","00","부천점","CXNOWlKe",2,2,17,16,"0.278333","0.046667","0.146667","0.085000","42.856837","13.636333","23.529412","7.185663"
"2025-04-19","00","부천점","WyhL9wUW",3,3,19,18,"0.331667","0.136667","0.110000","0.085000","21.951166","27.272727","35.294118","9.045190"
"2025-04-19","00","부천점","mETIww01",3,4,26,31,"0.333333","0.133333","0.118333","0.081667","22.500056","25.352184","48.979392","9.587268"
"2025-04-19","00","부천점","vqdeN3Np",3,3,18,17,"0.238333","0.053333","0.116667","0.068333","56.250352","25.714212","43.902653","12.587325"
"2025-04-19","00","중랑면목점","OMFB6olM",4,4,23,23,"0.231667","0.045000","0.115000","0.071667","88.888889","34.782609","55.813694","17.266088"
"2025-04-19","00","중랑면목점","b12ip1Eo",null,null,null,null,"0.005000","0.005000","0.000000","0.000000",null,null,null,null
"2025-04-19","00","중랑면목점","qTzr0nAB",3,4,39,46,"0.215000","0.038333","0.138333","0.038333","78.261550","21.686799","104.348733","14.604510"
"2025-04-19","05","부천점","53WqSC3B",null,null,null,null,"0.015000","0.015000","0.000000","0.000000",null,null,null,null
"2025-04-19","05","중랑면목점","9iY7LEjJ",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","05","중랑면목점","lmLiFe6P",null,null,null,null,"0.116667","0.116667","0.000000","0.000000",null,null,null,null
"2025-04-19","06","강서가양점","tfD9e5N1",5,4,42,38,"0.320000","0.071667","0.158333","0.090000","55.813694","31.579014","44.444444","13.872704"
"2025-04-19","06","부천점","51wkWFMs",3,3,10,9,"0.135000","0.073333","0.048333","0.013333","40.909277","62.069394","225.005625","22.222716"
"2025-04-19","06","부천점","53WqSC3B",1,1,13,13,"0.203333","0.041667","0.076667","0.085000","23.999808","13.043422","11.764706","4.918017"
"2025-04-19","06","부천점","BHoqohab",12,11,85,79,"0.850000","0.176667","0.455000","0.218333","62.264033","26.373626","50.381756","13.545363"
"2025-04-19","06","중랑면목점","9iY7LEjJ",null,null,null,null,"0.005000","0.005000","0.000000","0.000000",null,null,null,null
"2025-04-19","06","중랑면목점","jp47jcIm",null,null,null,null,"0.006667","0.006667","0.000000","0.000000",null,null,null,null
"2025-04-19","06","중랑면목점","lmLiFe6P",null,null,null,null,"0.051667","0.051667","0.000000","0.000000",null,null,null,null
"2025-04-19","07","강서가양점","68Ciee5T",3,3,21,19,"0.275000","0.040000","0.166667","0.068333","75.000000","17.999964","43.902653","10.909051"
"2025-04-19","07","강서가양점","tfD9e5N1",6,7,49,53,"0.466667","0.123333","0.200000","0.143333","48.648780","30.000000","48.837323","13.447186"
"2025-04-19","07","부천점","BHoqohab",0,1,1,5,"0.050000","0.031667","0.001667","0.016667",null,null,"59.998800",null
"2025-04-19","07","부천점","CXNOWlKe",7,6,48,35,"0.523333","0.135000","0.258333","0.130000","44.444444","27.096809","46.153846","12.334715"
"2025-04-19","07","부천점","vqdeN3Np",6,6,39,38,"0.370000","0.098333","0.163333","0.108333","61.017156","36.734769","55.384786","16.216392"
"2025-04-19","08","강서가양점","68Ciee5T",4,4,18,18,"0.321667","0.083333","0.161667","0.076667","48.000192","24.742217","52.173686","12.435182"
"2025-04-19","08","강서가양점","tfD9e5N1",2,2,14,14,"0.246667","0.151667","0.045000","0.050000","13.186784","44.444444","40.000000","8.108064"
"2025-04-19","08","부천점","51wkWFMs",9,9,88,87,"0.631667","0.191667","0.275000","0.165000","46.956440","32.727273","54.545455","14.248059"
"2025-04-19","08","부천점","CXNOWlKe",12,13,93,104,"1.001667","0.168333","0.456667","0.376667","71.287270","26.277353","34.513244","12.336845"
"2025-04-19","08","부천점","oOs9exjt",5,4,33,30,"0.415000","0.133333","0.188333","0.093333","30.000075","26.548720","42.857296","10.600744"
"2025-04-19","08","부천점","uPGgmpOV",null,null,null,null,"0.008333","0.008333","0.000000","0.000000",null,null,null,null
"2025-04-19","08","중랑면목점","9iY7LEjJ",2,2,9,9,"0.113333","0.025000","0.045000","0.043333","80.000000","44.444444","46.154201","17.646955"
"2025-04-19","08","중랑면목점","LMfOmjYb",1,1,8,8,"0.085000","0.025000","0.040000","0.020000","40.000000","25.000000","50.000000","11.764706"
"2025-04-19","08","중랑면목점","N8ydWNEw",1,1,10,10,"0.128333","0.020000","0.040000","0.068333","50.000000","25.000000","14.634218","7.792228"
"2025-04-19","08","중랑면목점","SQw6RR3C",3,3,22,21,"0.180000","0.031667","0.080000","0.068333","94.735845","37.500000","43.902653","16.666389"
"2025-04-19","08","중랑면목점","jp47jcIm",2,2,13,12,"0.153333","0.030000","0.070000","0.053333","66.666667","28.571429","37.500234","13.043422"
"2025-04-19","08","중랑면목점","lmLiFe6P",1,1,7,7,"0.133333","0.056667","0.038333","0.038333","17.646955","26.087183","26.087183","7.500019"
"2025-04-19","08","중랑면목점","mfVMV1Nt",2,2,12,12,"0.130000","0.040000","0.055000","0.035000","50.000000","36.363636","57.142857","15.384615"
"2025-04-19","08","중랑면목점","wzbubdhw",1,1,6,5,"0.098333","0.023333","0.031667","0.043333","42.857755","31.578615","23.077101","10.169526"
"2025-04-19","09","강서가양점","68Ciee5T",11,11,86,85,"0.975000","0.148333","0.543333","0.283333","74.157470","20.245411","38.823575","11.281970"
"2025-04-19","09","강서가양점","AvImLKTL",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","09","강서가양점","NBtykXNL",12,11,98,86,"0.856667","0.156667","0.441667","0.258333","70.212617","27.169791","42.580700","13.416876"
"2025-04-19","09","강서가양점","Q2rS4IlL",7,7,57,57,"0.501667","0.083333","0.231667","0.186667","84.000336","30.215784","37.499933","13.953423"
"2025-04-19","09","강서가양점","Wiz1Nl7i",11,11,72,72,"0.958333","0.226667","0.466667","0.265000","48.529340","23.571412","41.509434","11.478289"
"2025-04-19","09","강서가양점","sHpRj62Z",6,6,38,38,"0.458333","0.110000","0.210000","0.138333","54.545455","28.571429","43.373598","13.090890"
"2025-04-19","09","강서가양점","tfD9e5N1",4,4,23,22,"0.433333","0.228333","0.135000","0.070000","17.518274","29.629630","57.142857","9.230798"
"2025-04-19","09","강서가양점","zs4qjGt5",5,5,36,36,"0.366667","0.056667","0.180000","0.130000","88.234775","27.777778","38.461538","13.636426"
"2025-04-19","09","부천점","29AzUo3j",13,12,82,74,"0.925000","0.205000","0.471667","0.248333","58.536585","27.561818","48.322213","13.502748"
"2025-04-19","09","부천점","51wkWFMs",null,null,null,null,"0.041667","0.020000","0.000000","0.021667",null,null,null,null
"2025-04-19","09","부천점","CXNOWlKe",null,null,null,null,"0.050000","0.006667","0.000000","0.043333",null,null,null,null
"2025-04-19","09","부천점","Fvzi5VhM",12,12,98,98,"0.803333","0.198333","0.368333","0.236667","60.504303","32.579215","50.704154","14.937859"
"2025-04-19","09","부천점","GM0rEc2Y",5,5,24,23,"0.248333","0.088333","0.096667","0.063333","56.603987","51.723960","78.947784","20.134093"
"2025-04-19","09","부천점","VRA2cn8N",8,8,60,58,"0.833333","0.196667","0.376667","0.260000","40.677897","21.238919","30.769231","9.600061"
"2025-04-19","09","부천점","ek7EouT6",9,8,61,49,"0.723333","0.165000","0.415000","0.143333","48.484848","21.686747","55.814083","11.812930"
"2025-04-19","09","부천점","oOs9exjt",3,3,35,34,"0.343333","0.115000","0.135000","0.093333","26.086957","22.222222","32.142972","8.737898"
"2025-04-19","09","부천점","otFs4Y8P",8,7,66,66,"0.896667","0.248333","0.380000","0.268333","28.187957","21.052632","26.086989","8.243411"
"2025-04-19","09","부천점","uPGgmpOV",11,11,91,90,"0.976667","0.328333","0.428333","0.220000","33.502572","25.680954","50.000000","11.262910"
"2025-04-19","09","중랑면목점","9iY7LEjJ",12,11,87,83,"0.963333","0.141667","0.470000","0.351667","77.646876","25.531915","31.279591","11.902495"
"2025-04-19","09","중랑면목점","LMfOmjYb",12,11,88,82,"0.891667","0.128333","0.421667","0.341667","85.714508","28.458476","32.195091","12.842411"
"2025-04-19","09","중랑면목점","N8ydWNEw",1,1,4,4,"0.056667","0.018333","0.021667","0.016667","54.546446","46.153136","59.998800","17.646955"
"2025-04-19","09","중랑면목점","SQw6RR3C",10,9,79,71,"0.713333","0.080000","0.360000","0.273333","112.500000","27.777778","32.926869","13.287447"
"2025-04-19","09","중랑면목점","jp47jcIm",12,11,62,55,"0.875000","0.158333","0.458333","0.258333","69.473830","26.181837","42.580700","13.145268"
"2025-04-19","09","중랑면목점","lmLiFe6P",1,1,12,11,"0.106667","0.013333","0.055000","0.038333","75.001875","18.181818","26.087183","9.375059"
"2025-04-19","09","중랑면목점","mfVMV1Nt",9,9,71,64,"0.656667","0.231667","0.265000","0.160000","38.848865","33.962264","56.250000","13.705577"
"2025-04-19","09","중랑면목점","wzbubdhw",7,7,41,41,"0.495000","0.121667","0.221667","0.151667","57.534089","31.578900","46.153745","14.141271"
"2025-04-19","10","강서가양점","1Ghhtzq9",9,8,83,78,"0.733333","0.083333","0.408333","0.241667","96.000384","22.040834","33.103403","11.628583"
"2025-04-19","10","강서가양점","68Ciee5T",13,12,84,79,"0.998333","0.200000","0.528333","0.270000","60.000000","24.605694","44.444444","12.530072"
"2025-04-19","10","강서가양점","NBtykXNL",3,4,23,30,"0.290000","0.041667","0.133333","0.115000","71.999424","22.500056","34.782609","11.483298"
"2025-04-19","10","강서가양점","Q2rS4IlL",16,15,96,96,"1.000000","0.156667","0.473333","0.370000","95.744477","33.802841","40.540541","15.457384"
"2025-04-19","10","강서가양점","Wiz1Nl7i",5,5,48,47,"0.636667","0.155000","0.281667","0.200000","32.258065","17.751458","25.000000","7.853424"
"2025-04-19","10","강서가양점","sHpRj62Z",12,11,78,78,"0.998333","0.208333","0.465000","0.325000","52.800084","25.806452","33.846154","11.463420"
"2025-04-19","10","강서가양점","tfD9e5N1",3,2,17,9,"0.320000","0.211667","0.050000","0.058333","9.448804","60.000000","34.285910","6.593349"
"2025-04-19","10","강서가양점","zs4qjGt5",9,9,61,60,"0.476667","0.088333","0.231667","0.156667","101.887177","38.848865","57.446686","18.881106"
"2025-04-19","10","부천점","29AzUo3j",12,13,97,99,"0.998333","0.206667","0.450000","0.341667","58.064422","26.666667","38.048743","12.345069"
"2025-04-19","10","부천점","Fvzi5VhM",8,7,59,56,"0.613333","0.125000","0.320000","0.168333","56.000000","25.000000","41.584241","12.209267"
"2025-04-19","10","부천점","GM0rEc2Y",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","10","부천점","VRA2cn8N",8,8,79,78,"1.000000","0.205000","0.466667","0.328333","39.024390","17.142845","24.365507","8.000000"
"2025-04-19","10","부천점","ek7EouT6",8,8,94,96,"0.885000","0.125000","0.483333","0.276667","64.000000","16.551736","28.915628","9.039548"
"2025-04-19","10","부천점","oOs9exjt",3,3,30,30,"0.341667","0.123333","0.130000","0.088333","24.324390","23.076923","33.962392","8.780556"
"2025-04-19","10","부천점","otFs4Y8P",9,10,94,89,"1.000000","0.148333","0.506667","0.345000","60.674294","17.763146","28.985507","9.321663"
"2025-04-19","10","부천점","uPGgmpOV",16,15,106,104,"0.998333","0.180000","0.473333","0.345000","83.333333","33.802841","43.478261","15.483951"
"2025-04-19","10","중랑면목점","9iY7LEjJ",7,8,52,53,"0.520000","0.085000","0.265000","0.170000","82.352941","26.415094","47.058824","14.035088"
"2025-04-19","10","중랑면목점","LMfOmjYb",11,11,92,87,"1.000000","0.248333","0.421667","0.330000","44.295361","26.086936","33.333333","11.000011"
"2025-04-19","10","중랑면목점","OVJKTVfG",11,11,73,71,"0.915000","0.250000","0.476667","0.188333","44.000000","23.076907","58.407183","12.021976"
"2025-04-19","10","중랑면목점","SQw6RR3C",10,11,64,70,"0.685000","0.121667","0.315000","0.248333","82.191556","31.746032","44.295361","15.095935"
"2025-04-19","10","중랑면목점","jp47jcIm",12,12,81,76,"1.000000","0.260000","0.453333","0.286667","46.153846","26.470608","41.860416","11.999904"
"2025-04-19","10","중랑면목점","mfVMV1Nt",null,null,null,null,"0.048333","0.048333","0.000000","0.000000",null,null,null,null
"2025-04-19","10","중랑면목점","wzbubdhw",5,5,30,30,"0.518333","0.083333","0.271667","0.163333","60.000240","18.404885","30.612307","9.646271"
