"date","name","hash","split_order_id","sku_code","prev_dt","dt","diff_seconds"
"2025-05-10","부천점","CkhYuetU","166381693","A21005129","2025-05-10 00:23:12","2025-05-10 00:23:49",36
"2025-05-10","부천점","CkhYuetU","166381693","A21015272","2025-05-10 00:23:49","2025-05-10 00:24:04",15
"2025-05-10","부천점","CkhYuetU","166381693","A21002360","2025-05-10 00:24:04","2025-05-10 00:24:15",11
"2025-05-10","부천점","CkhYuetU","166381693","A21006105","2025-05-10 00:24:15","2025-05-10 00:24:47",32
"2025-05-10","부천점","CkhYuetU","166381693","A21013309","2025-05-10 00:24:47","2025-05-10 00:24:56",8
"2025-05-10","부천점","vqdeN3Np","166381775","S0000104","2025-05-10 06:01:22","2025-05-10 06:01:44",22
"2025-05-10","부천점","vqdeN3Np","166381775","A21021498","2025-05-10 06:01:44","2025-05-10 06:02:04",19
"2025-05-10","부천점","vqdeN3Np","166381775","A18001296","2025-05-10 06:02:04","2025-05-10 06:02:39",35
"2025-05-10","부천점","vqdeN3Np","166381775","A18001297","2025-05-10 06:02:39","2025-05-10 06:03:02",22
"2025-05-10","부천점","vqdeN3Np","166381775","A38002277","2025-05-10 06:03:02","2025-05-10 06:03:10",8
"2025-05-10","부천점","vqdeN3Np","166381775","A21008514","2025-05-10 06:03:10","2025-05-10 06:03:19",9
"2025-05-10","부천점","53WqSC3B","166381807","A21006809","2025-05-10 08:45:22","2025-05-10 08:45:38",15
"2025-05-10","부천점","53WqSC3B","166381807","A21022363","2025-05-10 08:45:38","2025-05-10 08:45:56",18
"2025-05-10","부천점","53WqSC3B","166381807","A21006810","2025-05-10 08:45:56","2025-05-10 08:46:05",8
"2025-05-10","부천점","53WqSC3B","166381807","S0000480","2025-05-10 08:46:05","2025-05-10 08:46:28",22
"2025-05-10","부천점","53WqSC3B","166381807","A21017724","2025-05-10 08:46:28","2025-05-10 08:46:40",12
"2025-05-10","부천점","53WqSC3B","166381807","A21018793","2025-05-10 08:46:40","2025-05-10 08:46:52",11
"2025-05-10","부천점","53WqSC3B","166381807","S0003251","2025-05-10 08:46:52","2025-05-10 08:47:13",20
"2025-05-10","부천점","53WqSC3B","166381807","S0000672","2025-05-10 08:47:13","2025-05-10 08:47:18",5
"2025-05-10","부천점","53WqSC3B","166381807","A21002302","2025-05-10 08:47:18","2025-05-10 08:47:29",10
"2025-05-10","부천점","53WqSC3B","166381807","A21021934","2025-05-10 08:47:29","2025-05-10 08:47:49",20
"2025-05-10","부천점","53WqSC3B","166381807","A21018739","2025-05-10 08:47:49","2025-05-10 08:48:10",20
"2025-05-10","부천점","53WqSC3B","166381807","A21015063","2025-05-10 08:48:10","2025-05-10 08:48:22",11
"2025-05-10","부천점","BHoqohab","166381830","A20003312","2025-05-10 06:06:07","2025-05-10 06:06:30",22
"2025-05-10","부천점","BHoqohab","166381830","A20001571","2025-05-10 06:06:30","2025-05-10 06:06:43",13
"2025-05-10","부천점","BHoqohab","166381830","A21001577","2025-05-10 06:06:43","2025-05-10 06:07:25",42
"2025-05-10","부천점","BHoqohab","166381830","A20002020","2025-05-10 06:07:25","2025-05-10 06:08:01",36
"2025-05-10","부천점","BHoqohab","166381830","A21013759","2025-05-10 06:08:01","2025-05-10 06:08:19",18
"2025-05-10","부천점","BHoqohab","166381830","A21002047","2025-05-10 06:08:19","2025-05-10 06:08:25",5
"2025-05-10","부천점","BHoqohab","166381830","A21015101","2025-05-10 06:08:25","2025-05-10 06:08:38",13
"2025-05-10","부천점","BHoqohab","166381864","S0000322","2025-05-10 06:01:16","2025-05-10 06:01:31",14
"2025-05-10","부천점","BHoqohab","166381864","A20004269","2025-05-10 06:01:31","2025-05-10 06:01:44",12
