"일자","센터명","시간대","원주문수","분리주문수","출고UNIT","출고SKU","피킹대기시간","피킹시간","패킹대기시간","패킹시간","총 피패킹 시간","피패킹 품질 12.0분 준수건수","피패킹 품질 15.0분 초과건수","총피패킹MH","피킹대기MH","피킹MH","패킹MH","총입고MH","지원MH","총투입MH","예약주문수","라이더 배차시간","도착시간","픽업시간","전달시간","총 배달 품질","라이더 대기건","라이더 대기건(선도착제외)","봉다리 대기건","라이더 대기시간","봉다리 대기시간"
"2025-05-08","강남논현점",0,"1","1","15","5","4.91","1.77","0.31","0.90","7.89","1","0","31.5","9.3","14.6","7.6","0.0","15.3","57.8","0","10.07","7.16","0.68","10.83","28.75","0","0","0","0.00","0.00"
"2025-05-08","강남논현점",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-05-08","강남논현점",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-05-08","강남논현점",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-05-08","강남논현점",4,"","","","","","","","","","","","0.1","0.1","0.0","0.0","9.4","0.0","9.5","","","","","","","","","","",""
"2025-05-08","강남논현점",5,"","","","","","","","","","","","2.0","2.0","0.0","0.0","275.0","2.9","281.0","","","","","","","","","","",""
"2025-05-08","강남논현점",6,"","","","","","","","","","","","0.3","0.3","0.0","0.0","313.2","5.8","319.3","","","","","","","","","","",""
"2025-05-08","강남논현점",7,"","","","","","","","","","","","0.3","0.3","0.0","0.0","154.8","56.0","384.3","","","","","","","","","","",""
"2025-05-08","강남논현점",8,"20","20","241","147","83.18","35.08","9.45","21.35","149.06","16","1","83.9","27.9","35.3","20.7","25.3","94.7","237.5","20","13.76","6.75","1.32","10.78","32.63","3","2","17","2.55","15.84"
"2025-05-08","강남논현점",9,"51","51","612","363","211.39","103.30","15.13","52.75","382.57","47","0","195.2","52.0","95.2","48.0","0.0","52.8","261.2","11","11.60","4.59","1.18","10.75","28.15","5","3","47","2.97","10.80"
"2025-05-08","강남논현점",10,"41","42","455","296","219.84","92.00","12.64","37.87","362.35","37","3","163.8","46.0","82.8","35.0","0.1","89.4","255.3","1","12.61","6.23","1.64","11.02","31.53","5","2","37","3.77","12.13"
"2025-05-08","강남논현점",11,"30","30","275","199","111.24","57.09","9.03","27.48","204.84","29","0","150.5","39.8","74.7","36.0","0.0","146.1","319.0","0","9.50","8.33","1.47","11.07","30.39","1","0","29","1.67","11.46"
"2025-05-08","강남논현점",12,"41","41","416","244","166.40","78.23","10.44","32.62","287.69","40","0","134.3","35.4","69.5","29.4","0.1","92.3","241.5","1","8.11","7.11","1.55","10.74","27.55","3","2","38","2.09","9.05"
"2025-05-08","강남논현점",13,"39","39","418","267","275.29","89.17","9.93","44.76","419.15","25","2","164.6","37.1","87.9","39.6","0.0","92.9","286.3","3","9.89","4.34","2.77","13.14","30.17","13","6","27","4.35","7.52"
"2025-05-08","강남논현점",14,"40","41","523","311","229.04","97.61","11.13","59.37","397.15","29","4","227.8","53.9","105.7","68.2","0.0","80.0","326.8","2","9.98","6.45","2.84","10.76","30.05","8","2","32","5.38","9.57"
"2025-05-08","강남논현점",15,"39","39","412","278","194.09","86.94","11.21","42.21","334.45","35","1","154.9","43.4","76.7","34.8","0.0","98.6","275.9","1","10.38","6.62","1.76","11.58","30.36","6","1","31","6.65","11.52"
"2025-05-08","강남논현점",16,"46","46","493","306","303.86","89.06","14.01","45.26","452.19","35","1","209.7","55.2","99.7","54.8","0.5","43.1","321.7","2","10.16","4.00","2.78","12.54","29.51","18","8","28","3.73","9.54"
"2025-05-08","강남논현점",17,"58","59","584","365","110.79","126.26","21.04","61.03","319.12","58","0","232.6","62.6","117.3","52.7","0.0","14.6","308.3","4","9.07","5.33","1.22","13.29","28.93","5","1","52","1.03","10.06"
"2025-05-08","강남논현점",18,"56","58","595","393","256.22","113.34","20.58","59.61","449.75","57","1","268.0","74.1","124.2","69.7","2.5","32.5","362.3","1","13.11","7.46","1.08","14.42","36.09","2","0","56","3.85","13.59"
"2025-05-08","강남논현점",19,"45","45","439","282","70.84","94.86","14.85","51.65","232.20","43","0","211.7","54.1","99.5","58.1","0.4","90.8","414.5","0","15.38","7.69","0.66","12.19","35.94","0","0","44","0.00","17.88"
"2025-05-08","강남논현점",20,"50","52","501","340","30.88","111.18","15.26","58.40","215.72","52","0","277.1","104.1","110.2","62.8","0.0","140.6","419.0","2","10.43","6.74","1.05","11.08","29.33","0","0","52","0.00","12.98"
