"일자","시간","FC명","작업자","입고 시간","진열 시간","입고진열 시간","입고지원 시간","총 입고시간","피킹대기 시간","피킹 시간","패킹 시간","총 피패킹 시간","지원 시간","휴게 시간","매뉴얼_미작업","오토_미작업","총 합계시간"
"2025-05-08","00","부산동래점","eSMsgB5G","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.1","0.2","0.0","0.0","0.0","0.0","0.2"
"2025-05-08","00","파주점","gCIMfYVh","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"2025-05-08","00","동탄점","yVlKcHNJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","66.3","0.0","0.1","0.0","66.4"
"2025-05-08","00","서대문신촌점","UglaY3vw","0.0","0.0","0.0","0.0","0.0","8.4","1.2","1.1","10.7","0.0","0.0","0.0","0.0","10.7"
"2025-05-08","00","인천부평점","W6O4SpkK","0.0","0.0","56.9","0.0","56.9","0.0","0.0","0.0","0.0","0.0","0.0","5.6","0.0","62.5"
"2025-05-08","00","대전중구점","QyXPGhvj","0.0","0.0","0.0","0.0","0.0","0.9","1.8","0.8","3.5","0.0","0.0","0.0","0.0","3.5"
"2025-05-08","00","원주점","gmRNEw9Q","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","1.0","0.0","0.0","0.0","1.1"
"2025-05-08","00","마포상암점","WrmCoQD8","0.0","0.0","0.0","0.0","0.0","1.1","0.9","1.0","3.0","0.0","0.0","0.0","0.0","3.0"
"2025-05-08","00","시흥점","XfvaLLXg","0.0","7.2","51.8","0.0","59.0","0.2","0.0","0.0","0.2","0.2","0.0","0.0","10.6","70.0"
"2025-05-08","00","중구명동점","oSgBd3Yk","0.0","0.0","0.0","0.0","0.0","1.2","0.0","1.1","2.3","19.5","0.0","10.1","0.0","31.9"
"2025-05-08","00","송파잠실점","zC0ZZU6G","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.6","10.6"
"2025-05-08","00","일산점","NZghhbPx","0.0","0.0","0.0","0.0","0.0","3.6","1.0","3.4","8.0","21.6","0.0","0.0","0.0","29.6"
"2025-05-08","00","서대문신촌점","BHjfFvJp","0.0","0.0","0.0","0.0","0.0","0.7","0.0","1.2","1.9","0.0","0.0","0.0","0.0","1.9"
"2025-05-08","00","수원광교점","qwr5anBj","0.0","0.0","0.0","0.0","0.0","0.1","0.0","10.5","10.6","0.9","0.0","0.0","1.5","13.0"
"2025-05-08","00","강서화곡점","GZyadhL6","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.6"
"2025-05-08","00","금천독산점","mJh8DupS","0.0","0.0","0.0","0.0","0.0","0.9","0.0","0.5","1.4","0.0","0.0","0.0","0.0","1.4"
"2025-05-08","00","수원인계점","bteP2HlY","0.0","0.0","0.0","0.0","0.0","2.8","5.4","9.1","17.3","0.0","0.0","0.0","0.0","17.3"
"2025-05-08","00","하남점","MKZUn8WR","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","강남양재점","09WS4E9j","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2025-05-08","00","동탄점","O8OonyA3","0.0","0.0","0.0","0.0","0.0","7.4","0.0","1.8","9.2","0.0","0.0","0.3","0.0","9.5"
"2025-05-08","00","인천청라점","vkrg17Eh","0.0","0.0","0.0","0.0","0.0","10.7","0.3","0.2","11.2","30.2","0.0","0.0","10.3","51.7"
"2025-05-08","00","분당점","KLlXpLmn","0.0","0.0","0.0","0.0","0.0","1.6","0.6","1.6","3.8","50.6","0.0","0.0","0.0","54.4"
"2025-05-08","00","동대문제기점","S1RmL2xE","0.0","0.0","0.0","0.0","0.0","10.5","0.0","0.0","10.5","0.0","0.0","0.0","10.3","20.8"
"2025-05-08","00","강남압구정점","RVH9aKQ7","0.0","0.0","0.0","0.0","0.0","4.7","1.2","4.1","10.0","60.1","0.0","0.0","0.0","70.1"
"2025-05-08","00","서초내방점","fN6YOCYB","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.7","1.2","0.0","0.0","0.0","0.0","1.2"
"2025-05-08","00","부천점","eED1ubfK","0.0","0.0","0.0","0.0","0.0","1.2","1.7","1.0","3.9","29.3","0.0","0.0","0.0","33.2"
"2025-05-08","00","성남점","vFBHudXA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.1"
"2025-05-08","00","용산한남점","jircfJee","0.0","0.0","0.0","0.0","0.0","10.8","1.8","1.3","13.9","6.2","0.0","0.0","0.7","20.8"
"2025-05-08","00","천안점","CavqWIXS","0.0","0.0","0.0","0.0","0.0","1.3","0.0","1.3","2.6","0.0","0.0","0.1","0.0","2.7"
"2025-05-08","00","안양점","3xm2GzQf","0.0","0.0","1.0","0.0","1.0","0.1","0.0","0.0","0.1","19.4","0.0","0.0","0.0","20.5"
"2025-05-08","00","광진자양점","StL5K2eE","0.0","0.0","0.0","0.0","0.0","0.7","0.0","1.3","2.0","0.0","0.0","0.0","0.0","2.0"
"2025-05-08","00","대구중구점","zNl75Fqj","0.0","0.0","0.0","0.0","0.0","10.1","0.0","0.0","10.1","4.6","0.0","0.0","7.5","22.2"
"2025-05-08","00","일산점","crBNT5pQ","0.0","0.0","0.0","0.0","0.0","1.3","0.0","0.7","2.0","0.0","0.0","0.0","0.0","2.0"
"2025-05-08","00","부산사하점","bBJSZsFi","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.1"
"2025-05-08","00","안산점","hJjoGxPb","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","60.7","0.0","0.0","0.0","61.1"
"2025-05-08","00","금천독산점","nIbFkjCE","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","인천부평점","oNGTgji2","0.0","0.0","0.0","0.0","0.0","12.4","2.9","1.3","16.6","0.0","0.0","0.0","3.0","19.6"
"2025-05-08","00","구리점","HuQFjbcX","0.0","0.0","0.0","0.0","0.0","0.8","1.1","0.7","2.6","0.0","0.0","0.0","0.0","2.6"
"2025-05-08","00","청주흥덕점","B3IkBZiK","0.0","0.0","0.0","0.0","0.0","0.8","0.0","1.2","2.0","0.0","0.0","0.0","0.0","2.0"
"2025-05-08","00","수원인계점","u69rhTyR","0.0","0.0","0.0","0.0","0.0","3.7","6.1","2.4","12.2","10.8","0.0","0.0","0.0","23.0"
"2025-05-08","00","도봉쌍문점","uXpGj3Sm","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.6"
"2025-05-08","00","관악신림점","eVFrpI5a","0.0","0.0","0.0","0.0","0.0","1.5","1.8","2.2","5.5","0.0","0.0","0.0","0.0","5.5"
"2025-05-08","00","춘천점","PzrcQw8c","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.1","10.1"
"2025-05-08","00","서초반포점","lRTRpAQF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.6","1.6"
"2025-05-08","00","용인점","8bv0SX8p","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1","2.1","0.0","0.0","0.0","0.0","2.1"
"2025-05-08","00","도봉쌍문점","tyVLfBDt","0.0","0.0","0.0","0.0","0.0","1.3","0.0","1.7","3.0","0.0","0.0","0.0","0.0","3.0"
"2025-05-08","00","광진자양점","pTVxe4zx","0.0","0.0","83.8","0.0","83.8","3.9","7.2","1.4","12.5","0.0","0.0","0.2","1.5","98.0"
"2025-05-08","00","송파잠실점","Vwt7U3D0","0.0","0.0","0.0","0.0","0.0","0.9","0.0","1.3","2.2","49.6","0.0","0.0","8.2","60.0"
"2025-05-08","00","안양점","Cz1JWs4a","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.6","10.6"
"2025-05-08","00","마포상암점","9KWjqYge","0.0","0.0","0.0","0.0","0.0","0.8","0.0","0.9","1.7","0.0","0.0","0.0","0.0","1.7"
"2025-05-08","00","용산한남점","DTH5Zz74","0.0","0.0","0.0","0.0","0.0","0.2","0.0","1.5","1.7","21.2","0.0","0.2","0.0","23.1"
"2025-05-08","00","오산점","9WtSwYHc","0.4","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","16.7","0.0","0.0","20.7","37.8"
"2025-05-08","00","강남압구정점","IjgFmPok","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.3","0.0","0.1","0.0","15.4"
"2025-05-08","00","용인점","OKYd1XRQ","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.7","2.7","60.8","0.0","0.0","0.0","63.5"
"2025-05-08","00","동탄점","IzRrFiI3","0.0","0.0","0.0","0.0","0.0","3.5","0.0","2.5","6.0","3.3","0.0","0.0","0.0","9.3"
"2025-05-08","00","천안점","EjLHoyBa","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","11.0"
"2025-05-08","00","부천점","51wkWFMs","0.0","0.0","34.0","0.0","34.0","3.9","6.9","1.6","12.4","21.1","0.0","0.0","0.0","67.5"
"2025-05-08","00","파주점","B4EGwNoV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.3","0.0","0.0","0.0","22.3"
"2025-05-08","00","노원중계점","4MhYD1bS","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.6"
"2025-05-08","00","분당점","Fr1Q7fBl","0.0","0.0","0.0","0.0","0.0","23.2","7.0","4.7","34.9","2.9","0.0","0.0","12.5","50.3"
"2025-05-08","00","수원인계점","PxkGkXuE","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.2","0.6","0.0","0.0","0.0","0.0","0.6"
"2025-05-08","00","서초내방점","Dr3GqKzt","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.1","10.1"
"2025-05-08","00","인천청라점","ceKUG55L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","0.0","0.0","11.0","46.0"
"2025-05-08","00","성남점","6AvO8Cxj","0.0","0.0","0.0","0.0","0.0","1.7","0.0","2.7","4.4","24.4","0.0","0.0","0.0","28.8"
"2025-05-08","00","성동옥수점","JFF7Hp75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2025-05-08","00","인천부평점","5ga8foMB","0.0","0.0","51.2","0.0","51.2","0.9","3.6","1.4","5.9","8.0","0.0","0.1","0.0","65.2"
"2025-05-08","00","송파문정점","ueqNNeUU","0.0","0.0","0.0","0.0","0.0","1.1","5.2","1.0","7.3","4.7","0.0","0.0","0.0","12.0"
"2025-05-08","00","동탄점","4qhC9mwm","0.0","0.0","0.0","0.0","0.0","11.3","0.7","0.4","12.4","60.9","0.0","0.0","11.0","84.3"
"2025-05-08","00","대구달서점","shzxbxfs","0.0","0.0","0.0","0.0","0.0","2.8","1.7","2.1","6.6","30.2","0.0","0.1","11.0","47.9"
"2025-05-08","00","대전서구점","mAdzgGL9","0.0","0.0","0.0","0.0","0.0","10.6","0.0","0.9","11.5","0.0","0.0","0.0","10.3","21.8"
"2025-05-08","00","금천독산점","sKKJg1zE","0.0","0.0","0.0","0.0","0.0","0.9","0.0","1.3","2.2","0.0","0.0","0.0","0.0","2.2"
"2025-05-08","00","서대문신촌점","Kx0yIuzu","0.0","0.0","0.0","0.0","0.0","1.3","0.0","2.5","3.8","0.0","0.0","0.0","0.0","3.8"
"2025-05-08","00","부천점","B6hHBJQa","0.0","0.0","58.1","0.0","58.1","1.7","1.6","0.5","3.8","0.0","0.0","0.0","0.0","61.9"
"2025-05-08","00","강서화곡점","lmtDuf2O","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.9","0.0","0.0","10.0","26.9"
"2025-05-08","00","관악신림점","h16tYNx1","0.0","0.0","0.0","0.0","0.0","0.9","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.9"
"2025-05-08","00","춘천점","N35Dy6Rj","0.0","0.0","0.0","0.0","0.0","5.8","2.4","2.7","10.9","23.6","0.0","0.0","6.9","41.4"
"2025-05-08","00","부산동래점","tvWvO9IF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.1","0.0","0.0","0.0","9.1"
"2025-05-08","00","인천남부점","lwAuRKTc","0.0","0.0","0.0","0.0","0.0","3.7","0.6","2.5","6.8","61.0","0.0","0.0","0.0","67.8"
"2025-05-08","00","인천연수점","XfvaLLXg","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.1"
"2025-05-08","00","중구명동점","5UciEqgg","0.0","11.2","0.0","0.0","11.2","11.3","3.2","3.3","17.8","1.6","0.0","0.0","17.2","47.8"
"2025-05-08","00","부산진구점","BXXmeTKr","0.0","0.0","0.0","0.0","0.0","3.2","1.0","2.0","6.2","13.3","0.0","0.0","0.0","19.5"
"2025-05-08","00","강남양재점","Mq9mlp26","0.0","0.0","0.0","0.0","0.0","2.6","1.3","3.1","7.0","24.7","0.0","0.1","0.0","31.8"
"2025-05-08","00","마포상암점","wpStGrz4","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"2025-05-08","00","김포점","08YfOwNs","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","0.0","0.0","0.0","7.4"
"2025-05-08","00","영등포신길점","xLarCATk","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","8.0","30.4","0.0","0.1","2.7","41.2"
"2025-05-08","00","평택점","Q7qryAuv","0.0","0.0","0.0","0.0","0.0","1.3","2.5","1.1","4.9","0.0","0.0","0.0","0.0","4.9"
"2025-05-08","00","전주점","JPBaP37K","0.0","0.0","0.0","0.0","0.0","11.8","1.0","0.8","13.6","28.5","0.0","0.0","13.4","55.5"
"2025-05-08","00","강서가양점","8X1cJNEE","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.4"
"2025-05-08","00","도봉쌍문점","wYIhxLno","0.0","0.0","34.5","5.7","40.2","0.0","0.0","0.0","0.0","0.6","0.0","0.0","12.6","53.4"
"2025-05-08","00","부산사하점","oGV1Kmvi","0.0","0.0","0.0","0.0","0.0","0.7","0.9","0.5","2.1","27.2","0.0","0.0","0.0","29.3"
"2025-05-08","00","대전서구점","8mV8a3rv","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
"2025-05-08","00","김포점","MVpL9fIM","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","1.5"
"2025-05-08","00","인천부평점","oEkiYhez","0.0","0.0","0.0","0.0","0.0","2.4","3.2","1.9","7.5","0.0","0.0","0.0","0.0","7.5"
"2025-05-08","00","평택고덕점","r3TXjxJe","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","11.0"
"2025-05-08","00","일산점","DzAQsRYR","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.6"
"2025-05-08","00","도봉쌍문점","xZrTD4Vm","0.0","0.0","0.0","0.0","0.0","0.7","1.1","0.5","2.3","0.0","0.0","0.0","0.0","2.3"
"2025-05-08","00","서대문신촌점","ReYda5f6","0.0","0.0","88.6","0.0","88.6","0.0","0.0","0.0","0.0","2.5","0.0","5.2","0.0","96.3"
"2025-05-08","00","광진자양점","MZvWzRLJ","0.0","0.0","0.0","0.0","0.0","12.3","7.1","3.0","22.4","1.3","0.0","0.0","11.0","34.7"
"2025-05-08","00","중랑면목점","qTzr0nAB","0.0","0.0","0.0","0.0","0.0","2.0","3.1","0.5","5.6","1.4","0.0","0.0","0.0","7.0"
"2025-05-08","00","서대문신촌점","hcI1z5sG","0.0","0.0","0.0","0.0","0.0","0.8","0.0","0.0","0.8","0.0","0.0","0.0","0.0","0.8"
"2025-05-08","00","강남양재점","jHDal2Yv","0.0","0.0","0.0","0.0","0.0","1.4","4.0","2.1","7.5","0.0","0.0","10.5","0.0","18.0"
"2025-05-08","00","서대문신촌점","sV4nNFAM","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.6"
